location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Denmark,2021-01-01,18,24,0.02,0.0,0.0
Denmark,2021-01-01,25,49,0.11,0.0,0.0
Denmark,2021-01-01,50,59,0.13,0.0,0.0
Denmark,2021-01-01,60,69,0.14,0.0,0.0
Denmark,2021-01-01,70,79,0.07,0.0,0.0
Denmark,2021-01-01,80,,0.24,0.0,0.0
Denmark,2021-01-08,15,17,0.0,0.0,0.0
Denmark,2021-01-08,18,24,0.31,0.0,0.0
Denmark,2021-01-08,25,49,1.73,0.0,0.0
Denmark,2021-01-08,50,59,2.53,0.0,0.0
Denmark,2021-01-08,60,69,2.89,0.0,0.0
Denmark,2021-01-08,70,79,1.18,0.0,0.0
Denmark,2021-01-08,80,,4.51,0.0,0.0
Denmark,2021-01-15,18,24,0.43,0.0,0.0
Denmark,2021-01-15,25,49,2.43,0.01,0.0
Denmark,2021-01-15,50,59,3.42,0.02,0.0
Denmark,2021-01-15,60,69,4.01,0.01,0.0
Denmark,2021-01-15,70,79,2.31,0.01,0.0
Denmark,2021-01-15,80,,8.02,0.03,0.0
Denmark,2021-01-22,15,17,0.0,0.0,0.0
Denmark,2021-01-22,18,24,0.48,0.06,0.0
Denmark,2021-01-22,25,49,2.57,0.36,0.0
Denmark,2021-01-22,50,59,3.6,0.55,0.0
Denmark,2021-01-22,60,69,4.23,0.64,0.0
Denmark,2021-01-22,70,79,2.56,0.33,0.0
Denmark,2021-01-22,80,,8.78,1.35,0.0
Denmark,2021-01-29,15,17,0.0,0.0,0.0
Denmark,2021-01-29,18,24,0.51,0.23,0.0
Denmark,2021-01-29,25,49,2.64,1.22,0.0
Denmark,2021-01-29,50,59,3.71,1.89,0.0
Denmark,2021-01-29,60,69,4.35,2.2,0.0
Denmark,2021-01-29,70,79,2.64,0.97,0.0
Denmark,2021-01-29,80,,8.91,3.8,0.0
Denmark,2021-02-05,18,24,0.54,0.35,0.0
Denmark,2021-02-05,25,49,2.71,1.92,0.0
Denmark,2021-02-05,50,59,3.81,2.85,0.0
Denmark,2021-02-05,60,69,4.47,3.39,0.0
Denmark,2021-02-05,70,79,2.81,1.92,0.0
Denmark,2021-02-05,80,,10.23,6.88,0.0
Denmark,2021-02-12,15,17,0.0,0.0,0.0
Denmark,2021-02-12,18,24,0.72,0.44,0.0
Denmark,2021-02-12,25,49,3.24,2.37,0.0
Denmark,2021-02-12,50,59,4.46,3.39,0.0
Denmark,2021-02-12,60,69,5.11,4.0,0.0
Denmark,2021-02-12,70,79,2.99,2.35,0.0
Denmark,2021-02-12,80,,15.21,8.33,0.0
Denmark,2021-02-19,18,24,0.97,0.47,0.0
Denmark,2021-02-19,25,49,3.98,2.5,0.0
Denmark,2021-02-19,50,59,5.5,3.54,0.0
Denmark,2021-02-19,60,69,6.21,4.18,0.0
Denmark,2021-02-19,70,79,3.75,2.52,0.0
Denmark,2021-02-19,80,,28.81,8.56,0.0
Denmark,2021-02-26,15,17,0.01,0.0,0.0
Denmark,2021-02-26,18,24,1.47,0.51,0.0
Denmark,2021-02-26,25,49,5.5,2.62,0.0
Denmark,2021-02-26,50,59,7.79,3.7,0.0
Denmark,2021-02-26,60,69,8.95,4.36,0.0
Denmark,2021-02-26,70,79,6.2,2.72,0.0
Denmark,2021-02-26,80,,35.88,9.16,0.0
Denmark,2021-03-05,15,17,0.01,0.0,0.0
Denmark,2021-03-05,18,24,2.07,0.54,0.0
Denmark,2021-03-05,25,49,7.21,2.71,0.0
Denmark,2021-03-05,5,9,0.0,0.0,0.0
Denmark,2021-03-05,50,59,10.08,3.83,0.0
Denmark,2021-03-05,60,69,11.81,4.52,0.0
Denmark,2021-03-05,70,79,9.33,2.89,0.0
Denmark,2021-03-05,80,,40.43,13.0,0.0
Denmark,2021-03-12,10,14,0.0,0.0,0.0
Denmark,2021-03-12,15,17,0.02,0.0,0.0
Denmark,2021-03-12,18,24,2.35,0.59,0.0
Denmark,2021-03-12,25,49,7.91,2.84,0.0
Denmark,2021-03-12,50,59,11.02,4.07,0.0
Denmark,2021-03-12,60,69,12.95,4.92,0.0
Denmark,2021-03-12,70,79,10.49,3.54,0.0
Denmark,2021-03-12,80,,42.69,25.09,0.0
Denmark,2021-03-19,15,17,0.02,0.0,0.0
Denmark,2021-03-19,18,24,2.51,0.69,0.0
Denmark,2021-03-19,25,49,8.25,3.11,0.0
Denmark,2021-03-19,50,59,11.57,4.57,0.0
Denmark,2021-03-19,60,69,13.75,5.9,0.0
Denmark,2021-03-19,70,79,11.67,5.14,0.0
Denmark,2021-03-19,80,,50.87,33.72,0.0
Denmark,2021-03-26,15,17,0.02,0.0,0.0
Denmark,2021-03-26,18,24,2.61,0.82,0.0
Denmark,2021-03-26,25,49,8.48,3.43,0.0
Denmark,2021-03-26,5,9,0.0,0.0,0.0
Denmark,2021-03-26,50,59,11.94,5.21,0.0
Denmark,2021-03-26,60,69,14.33,7.26,0.0
Denmark,2021-03-26,70,79,12.5,7.77,0.0
Denmark,2021-03-26,80,,63.0,37.19,0.0
Denmark,2021-04-02,10,14,0.0,0.0,0.0
Denmark,2021-04-02,15,17,0.02,0.01,0.0
Denmark,2021-04-02,18,24,2.71,0.93,0.0
Denmark,2021-04-02,25,49,8.73,3.66,0.0
Denmark,2021-04-02,5,9,0.0,0.0,0.0
Denmark,2021-04-02,50,59,12.45,5.66,0.0
Denmark,2021-04-02,60,69,15.13,8.3,0.0
Denmark,2021-04-02,70,79,15.97,9.65,0.0
Denmark,2021-04-02,80,,79.35,40.49,0.0
Denmark,2021-04-09,10,14,0.0,0.0,0.0
Denmark,2021-04-09,15,17,0.02,0.01,0.0
Denmark,2021-04-09,18,24,2.81,1.1,0.0
Denmark,2021-04-09,25,49,8.93,4.04,0.0
Denmark,2021-04-09,50,59,12.77,6.24,0.0
Denmark,2021-04-09,60,69,15.59,9.17,0.0
Denmark,2021-04-09,70,79,25.37,10.9,0.0
Denmark,2021-04-09,80,,93.1,44.93,0.0
Denmark,2021-04-16,15,17,0.02,0.02,0.0
Denmark,2021-04-16,18,24,2.9,1.22,0.0
Denmark,2021-04-16,25,49,9.1,4.31,0.0
Denmark,2021-04-16,50,59,13.06,6.71,0.0
Denmark,2021-04-16,60,69,16.13,9.9,0.0
Denmark,2021-04-16,70,79,51.13,11.99,0.0
Denmark,2021-04-16,80,,102.46,55.28,0.0
Denmark,2021-04-23,10,14,0.0,0.0,0.0
Denmark,2021-04-23,15,17,0.02,0.02,0.0
Denmark,2021-04-23,18,24,2.98,1.31,0.0
Denmark,2021-04-23,25,49,9.28,4.54,0.0
Denmark,2021-04-23,50,59,13.33,7.17,0.0
Denmark,2021-04-23,60,69,18.0,10.7,0.0
Denmark,2021-04-23,70,79,72.45,14.23,0.0
Denmark,2021-04-23,80,,104.36,70.32,0.01
Denmark,2021-04-30,15,17,0.02,0.02,0.0
Denmark,2021-04-30,18,24,3.06,1.45,0.0
Denmark,2021-04-30,25,49,9.45,4.9,0.0
Denmark,2021-04-30,5,9,0.0,0.0,0.0
Denmark,2021-04-30,50,59,13.63,7.73,0.0
Denmark,2021-04-30,60,69,25.69,11.37,0.0
Denmark,2021-04-30,70,79,86.62,19.95,0.0
Denmark,2021-04-30,80,,105.67,83.73,0.01
Denmark,2021-05-07,15,17,0.02,0.02,0.0
Denmark,2021-05-07,18,24,3.16,1.68,0.0
Denmark,2021-05-07,25,49,9.66,5.56,0.0
Denmark,2021-05-07,50,59,14.01,8.69,0.0
Denmark,2021-05-07,60,69,39.99,12.39,0.0
Denmark,2021-05-07,70,79,92.08,41.93,0.0
Denmark,2021-05-07,80,,106.33,97.0,0.01
Denmark,2021-05-14,10,14,0.0,0.0,0.0
Denmark,2021-05-14,15,17,0.04,0.02,0.0
Denmark,2021-05-14,18,24,3.25,1.96,0.0
Denmark,2021-05-14,25,49,9.86,6.36,0.0
Denmark,2021-05-14,50,59,15.66,9.82,0.0
Denmark,2021-05-14,60,69,58.05,13.68,0.0
Denmark,2021-05-14,70,79,95.04,62.82,0.0
Denmark,2021-05-14,80,,106.83,102.32,0.01
Denmark,2021-05-21,10,14,0.0,0.0,0.0
Denmark,2021-05-21,15,17,0.05,0.02,0.0
Denmark,2021-05-21,18,24,3.39,2.41,0.0
Denmark,2021-05-21,25,49,10.09,7.63,0.0
Denmark,2021-05-21,50,59,25.75,11.54,0.0
Denmark,2021-05-21,60,69,74.85,15.69,0.01
Denmark,2021-05-21,70,79,96.35,77.02,0.0
Denmark,2021-05-21,80,,107.19,104.38,0.01
Denmark,2021-05-28,10,14,0.01,0.0,0.0
Denmark,2021-05-28,15,17,0.06,0.02,0.0
Denmark,2021-05-28,18,24,4.31,2.75,0.0
Denmark,2021-05-28,25,49,10.43,8.55,0.0
Denmark,2021-05-28,50,59,45.32,12.68,0.0
Denmark,2021-05-28,60,69,87.71,17.47,0.01
Denmark,2021-05-28,70,79,97.0,81.67,0.0
Denmark,2021-05-28,80,,107.48,104.99,0.01
Denmark,2021-06-04,0,4,0.0,0.0,0.0
Denmark,2021-06-04,10,14,0.01,0.0,0.0
Denmark,2021-06-04,15,17,0.07,0.03,0.0
Denmark,2021-06-04,18,24,10.1,3.03,0.0
Denmark,2021-06-04,25,49,12.42,9.56,0.0
Denmark,2021-06-04,50,59,64.42,13.39,0.0
Denmark,2021-06-04,60,69,93.24,25.0,0.01
Denmark,2021-06-04,70,79,97.39,88.09,0.0
Denmark,2021-06-04,80,,107.69,105.75,0.01
Denmark,2021-06-11,10,14,0.01,0.0,0.0
Denmark,2021-06-11,15,17,0.08,0.04,0.0
Denmark,2021-06-11,18,24,25.8,3.31,0.0
Denmark,2021-06-11,25,49,18.68,10.77,0.0
Denmark,2021-06-11,5,9,0.0,0.0,0.0
Denmark,2021-06-11,50,59,79.59,13.84,0.0
Denmark,2021-06-11,60,69,94.98,36.57,0.01
Denmark,2021-06-11,70,79,97.65,92.28,0.0
Denmark,2021-06-11,80,,107.84,106.29,0.01
Denmark,2021-06-18,10,14,0.01,0.0,0.0
Denmark,2021-06-18,15,17,0.09,0.05,0.0
