date,indicator,value,entity
2020-02-26,Weekly new hospital admissions,1196.0,Italy
2020-02-27,Weekly new hospital admissions,1421.0,Italy
2020-02-28,Weekly new hospital admissions,1673.0,Italy
2020-02-29,Weekly new hospital admissions,1936.0,Italy
2020-03-01,Weekly new hospital admissions,2224.0,Italy
2020-03-02,Weekly new hospital admissions,2695.0,Italy
2020-03-03,Weekly new hospital admissions,3234.0,Italy
2020-03-04,Weekly new hospital admissions,3865.0,Italy
2020-03-05,Weekly new hospital admissions,4632.0,Italy
2020-03-06,Weekly new hospital admissions,5448.0,Italy
2020-03-07,Weekly new hospital admissions,6249.0,Italy
2020-03-08,Weekly new hospital admissions,6944.0,Italy
2020-03-09,Weekly new hospital admissions,7707.0,Italy
2020-03-10,Weekly new hospital admissions,8453.0,Italy
2020-03-11,Weekly new hospital admissions,9254.0,Italy
2020-03-12,Weekly new hospital admissions,10027.0,Italy
2020-03-13,Weekly new hospital admissions,11100.0,Italy
2020-03-14,Weekly new hospital admissions,11903.0,Italy
2020-03-15,Weekly new hospital admissions,12662.0,Italy
2020-03-16,Weekly new hospital admissions,13721.0,Italy
2020-03-17,Weekly new hospital admissions,14829.0,Italy
2020-03-18,Weekly new hospital admissions,15822.0,Italy
2020-03-19,Weekly new hospital admissions,16752.0,Italy
2020-03-20,Weekly new hospital admissions,17332.0,Italy
2020-03-21,Weekly new hospital admissions,17896.0,Italy
2020-03-22,Weekly new hospital admissions,18190.0,Italy
2020-03-23,Weekly new hospital admissions,18411.0,Italy
2020-03-24,Weekly new hospital admissions,18370.0,Italy
2020-03-25,Weekly new hospital admissions,17988.0,Italy
2020-03-26,Weekly new hospital admissions,17323.0,Italy
2020-03-27,Weekly new hospital admissions,16716.0,Italy
2020-03-28,Weekly new hospital admissions,15927.0,Italy
2020-03-29,Weekly new hospital admissions,15177.0,Italy
2020-03-30,Weekly new hospital admissions,14157.0,Italy
2020-03-31,Weekly new hospital admissions,13128.0,Italy
2020-04-01,Weekly new hospital admissions,12329.0,Italy
2020-04-02,Weekly new hospital admissions,11680.0,Italy
2020-04-03,Weekly new hospital admissions,10723.0,Italy
2020-04-04,Weekly new hospital admissions,10010.0,Italy
2020-04-05,Weekly new hospital admissions,9418.0,Italy
2020-04-06,Weekly new hospital admissions,8774.0,Italy
2020-04-07,Weekly new hospital admissions,8230.0,Italy
2020-04-08,Weekly new hospital admissions,7775.0,Italy
2020-04-09,Weekly new hospital admissions,7325.0,Italy
2020-04-10,Weekly new hospital admissions,7001.0,Italy
2020-04-11,Weekly new hospital admissions,6794.0,Italy
2020-04-12,Weekly new hospital admissions,6621.0,Italy
2020-04-13,Weekly new hospital admissions,6215.0,Italy
2020-04-14,Weekly new hospital admissions,6057.0,Italy
2020-04-15,Weekly new hospital admissions,5738.0,Italy
2020-04-16,Weekly new hospital admissions,5454.0,Italy
2020-04-17,Weekly new hospital admissions,5247.0,Italy
2020-04-18,Weekly new hospital admissions,4995.0,Italy
2020-04-19,Weekly new hospital admissions,4802.0,Italy
2020-04-20,Weekly new hospital admissions,4840.0,Italy
2020-04-21,Weekly new hospital admissions,4581.0,Italy
2020-04-22,Weekly new hospital admissions,4473.0,Italy
2020-04-23,Weekly new hospital admissions,4347.0,Italy
2020-04-24,Weekly new hospital admissions,4171.0,Italy
2020-04-25,Weekly new hospital admissions,4030.0,Italy
2020-04-26,Weekly new hospital admissions,3921.0,Italy
2020-04-27,Weekly new hospital admissions,3718.0,Italy
2020-04-28,Weekly new hospital admissions,3548.0,Italy
2020-04-29,Weekly new hospital admissions,3339.0,Italy
2020-04-30,Weekly new hospital admissions,3114.0,Italy
2020-05-01,Weekly new hospital admissions,2835.0,Italy
2020-05-02,Weekly new hospital admissions,2653.0,Italy
2020-05-03,Weekly new hospital admissions,2474.0,Italy
2020-05-04,Weekly new hospital admissions,2323.0,Italy
2020-05-05,Weekly new hospital admissions,2176.0,Italy
2020-05-06,Weekly new hospital admissions,2069.0,Italy
2020-05-07,Weekly new hospital admissions,1996.0,Italy
2020-05-08,Weekly new hospital admissions,2012.0,Italy
2020-05-09,Weekly new hospital admissions,1945.0,Italy
2020-05-10,Weekly new hospital admissions,1933.0,Italy
2020-05-11,Weekly new hospital admissions,1892.0,Italy
2020-05-12,Weekly new hospital admissions,1782.0,Italy
2020-05-13,Weekly new hospital admissions,1684.0,Italy
2020-05-14,Weekly new hospital admissions,1594.0,Italy
2020-05-15,Weekly new hospital admissions,1517.0,Italy
2020-05-16,Weekly new hospital admissions,1474.0,Italy
2020-05-17,Weekly new hospital admissions,1428.0,Italy
2020-05-18,Weekly new hospital admissions,1343.0,Italy
2020-05-19,Weekly new hospital admissions,1313.0,Italy
2020-05-20,Weekly new hospital admissions,1254.0,Italy
2020-05-21,Weekly new hospital admissions,1169.0,Italy
2020-05-22,Weekly new hospital admissions,1093.0,Italy
2020-05-23,Weekly new hospital admissions,1051.0,Italy
2020-05-24,Weekly new hospital admissions,1025.0,Italy
2020-05-25,Weekly new hospital admissions,1012.0,Italy
2020-05-26,Weekly new hospital admissions,978.0,Italy
2020-05-27,Weekly new hospital admissions,946.0,Italy
2020-05-28,Weekly new hospital admissions,900.0,Italy
2020-05-29,Weekly new hospital admissions,874.0,Italy
2020-05-30,Weekly new hospital admissions,866.0,Italy
2020-05-31,Weekly new hospital admissions,827.0,Italy
2020-06-01,Weekly new hospital admissions,799.0,Italy
2020-06-02,Weekly new hospital admissions,738.0,Italy
2020-06-03,Weekly new hospital admissions,733.0,Italy
2020-06-04,Weekly new hospital admissions,743.0,Italy
2020-06-05,Weekly new hospital admissions,722.0,Italy
2020-06-06,Weekly new hospital admissions,684.0,Italy
2020-06-07,Weekly new hospital admissions,670.0,Italy
2020-06-08,Weekly new hospital admissions,659.0,Italy
2020-06-09,Weekly new hospital admissions,677.0,Italy
2020-06-10,Weekly new hospital admissions,646.0,Italy
2020-06-11,Weekly new hospital admissions,618.0,Italy
2020-06-12,Weekly new hospital admissions,611.0,Italy
2020-06-13,Weekly new hospital admissions,629.0,Italy
2020-06-14,Weekly new hospital admissions,635.0,Italy
2020-06-15,Weekly new hospital admissions,598.0,Italy
2020-06-16,Weekly new hospital admissions,574.0,Italy
2020-06-17,Weekly new hospital admissions,593.0,Italy
2020-06-18,Weekly new hospital admissions,608.0,Italy
2020-06-19,Weekly new hospital admissions,614.0,Italy
2020-06-20,Weekly new hospital admissions,581.0,Italy
2020-06-21,Weekly new hospital admissions,574.0,Italy
2020-06-22,Weekly new hospital admissions,590.0,Italy
2020-06-23,Weekly new hospital admissions,607.0,Italy
2020-06-24,Weekly new hospital admissions,601.0,Italy
2020-06-25,Weekly new hospital admissions,587.0,Italy
2020-06-26,Weekly new hospital admissions,579.0,Italy
2020-06-27,Weekly new hospital admissions,588.0,Italy
2020-06-28,Weekly new hospital admissions,577.0,Italy
2020-06-29,Weekly new hospital admissions,572.0,Italy
2020-06-30,Weekly new hospital admissions,569.0,Italy
2020-07-01,Weekly new hospital admissions,537.0,Italy
2020-07-02,Weekly new hospital admissions,545.0,Italy
2020-07-03,Weekly new hospital admissions,544.0,Italy
2020-07-04,Weekly new hospital admissions,535.0,Italy
2020-07-05,Weekly new hospital admissions,548.0,Italy
2020-07-06,Weekly new hospital admissions,532.0,Italy
2020-07-07,Weekly new hospital admissions,520.0,Italy
2020-07-08,Weekly new hospital admissions,526.0,Italy
2020-07-09,Weekly new hospital admissions,519.0,Italy
2020-07-10,Weekly new hospital admissions,501.0,Italy
2020-07-11,Weekly new hospital admissions,519.0,Italy
2020-07-12,Weekly new hospital admissions,510.0,Italy
2020-07-13,Weekly new hospital admissions,510.0,Italy
2020-07-14,Weekly new hospital admissions,518.0,Italy
2020-07-15,Weekly new hospital admissions,516.0,Italy
2020-07-16,Weekly new hospital admissions,502.0,Italy
2020-07-17,Weekly new hospital admissions,522.0,Italy
2020-07-18,Weekly new hospital admissions,520.0,Italy
2020-07-19,Weekly new hospital admissions,516.0,Italy
2020-07-20,Weekly new hospital admissions,525.0,Italy
2020-07-21,Weekly new hospital admissions,536.0,Italy
2020-07-22,Weekly new hospital admissions,543.0,Italy
2020-07-23,Weekly new hospital admissions,555.0,Italy
2020-07-24,Weekly new hospital admissions,532.0,Italy
2020-07-25,Weekly new hospital admissions,545.0,Italy
2020-07-26,Weekly new hospital admissions,555.0,Italy
2020-07-27,Weekly new hospital admissions,532.0,Italy
2020-07-28,Weekly new hospital admissions,516.0,Italy
2020-07-29,Weekly new hospital admissions,517.0,Italy
2020-07-30,Weekly new hospital admissions,511.0,Italy
2020-07-31,Weekly new hospital admissions,521.0,Italy
2020-08-01,Weekly new hospital admissions,521.0,Italy
2020-08-02,Weekly new hospital admissions,528.0,Italy
2020-08-03,Weekly new hospital admissions,567.0,Italy
2020-08-04,Weekly new hospital admissions,556.0,Italy
2020-08-05,Weekly new hospital admissions,567.0,Italy
2020-08-06,Weekly new hospital admissions,575.0,Italy
2020-08-07,Weekly new hospital admissions,570.0,Italy
2020-08-08,Weekly new hospital admissions,561.0,Italy
2020-08-09,Weekly new hospital admissions,573.0,Italy
2020-08-10,Weekly new hospital admissions,569.0,Italy
2020-08-11,Weekly new hospital admissions,567.0,Italy
2020-08-12,Weekly new hospital admissions,583.0,Italy
2020-08-13,Weekly new hospital admissions,597.0,Italy
2020-08-14,Weekly new hospital admissions,602.0,Italy
2020-08-15,Weekly new hospital admissions,607.0,Italy
2020-08-16,Weekly new hospital admissions,606.0,Italy
2020-08-17,Weekly new hospital admissions,598.0,Italy
2020-08-18,Weekly new hospital admissions,665.0,Italy
2020-08-19,Weekly new hospital admissions,702.0,Italy
2020-08-20,Weekly new hospital admissions,705.0,Italy
2020-08-21,Weekly new hospital admissions,718.0,Italy
2020-08-22,Weekly new hospital admissions,777.0,Italy
2020-08-23,Weekly new hospital admissions,805.0,Italy
2020-08-24,Weekly new hospital admissions,828.0,Italy
2020-08-25,Weekly new hospital admissions,856.0,Italy
2020-08-26,Weekly new hospital admissions,863.0,Italy
2020-08-27,Weekly new hospital admissions,922.0,Italy
2020-08-28,Weekly new hospital admissions,976.0,Italy
2020-08-29,Weekly new hospital admissions,967.0,Italy
2020-08-30,Weekly new hospital admissions,987.0,Italy
2020-08-31,Weekly new hospital admissions,1003.0,Italy
2020-09-01,Weekly new hospital admissions,1009.0,Italy
2020-09-02,Weekly new hospital admissions,1041.0,Italy
2020-09-03,Weekly new hospital admissions,1078.0,Italy
2020-09-04,Weekly new hospital admissions,1106.0,Italy
2020-09-05,Weekly new hospital admissions,1139.0,Italy
2020-09-06,Weekly new hospital admissions,1150.0,Italy
2020-09-07,Weekly new hospital admissions,1220.0,Italy
2020-09-08,Weekly new hospital admissions,1240.0,Italy
2020-09-09,Weekly new hospital admissions,1251.0,Italy
2020-09-10,Weekly new hospital admissions,1283.0,Italy
2020-09-11,Weekly new hospital admissions,1316.0,Italy
2020-09-12,Weekly new hospital admissions,1350.0,Italy
2020-09-13,Weekly new hospital admissions,1396.0,Italy
2020-09-14,Weekly new hospital admissions,1416.0,Italy
2020-09-15,Weekly new hospital admissions,1483.0,Italy
2020-09-16,Weekly new hospital admissions,1526.0,Italy
2020-09-17,Weekly new hospital admissions,1551.0,Italy
2020-09-18,Weekly new hospital admissions,1577.0,Italy
2020-09-19,Weekly new hospital admissions,1582.0,Italy
2020-09-20,Weekly new hospital admissions,1575.0,Italy
2020-09-21,Weekly new hospital admissions,1606.0,Italy
2020-09-22,Weekly new hospital admissions,1625.0,Italy
2020-09-23,Weekly new hospital admissions,1651.0,Italy
2020-09-24,Weekly new hospital admissions,1660.0,Italy
2020-09-25,Weekly new hospital admissions,1703.0,Italy
2020-09-26,Weekly new hospital admissions,1734.0,Italy
2020-09-27,Weekly new hospital admissions,1761.0,Italy
2020-09-28,Weekly new hospital admissions,1791.0,Italy
2020-09-29,Weekly new hospital admissions,1817.0,Italy
2020-09-30,Weekly new hospital admissions,1821.0,Italy
2020-10-01,Weekly new hospital admissions,1914.0,Italy
2020-10-02,Weekly new hospital admissions,2001.0,Italy
2020-10-03,Weekly new hospital admissions,2142.0,Italy
2020-10-04,Weekly new hospital admissions,2272.0,Italy
2020-10-05,Weekly new hospital admissions,2429.0,Italy
2020-10-06,Weekly new hospital admissions,2636.0,Italy
2020-10-07,Weekly new hospital admissions,2859.0,Italy
2020-10-08,Weekly new hospital admissions,3047.0,Italy
2020-10-09,Weekly new hospital admissions,3247.0,Italy
2020-10-10,Weekly new hospital admissions,3461.0,Italy
2020-10-11,Weekly new hospital admissions,3733.0,Italy
2020-10-12,Weekly new hospital admissions,4042.0,Italy
2020-10-13,Weekly new hospital admissions,4367.0,Italy
2020-10-14,Weekly new hospital admissions,4721.0,Italy
2020-10-15,Weekly new hospital admissions,5139.0,Italy
2020-10-16,Weekly new hospital admissions,5540.0,Italy
2020-10-17,Weekly new hospital admissions,6077.0,Italy
2020-10-18,Weekly new hospital admissions,6521.0,Italy
2020-10-19,Weekly new hospital admissions,7068.0,Italy
2020-10-20,Weekly new hospital admissions,7671.0,Italy
2020-10-21,Weekly new hospital admissions,8260.0,Italy
2020-10-22,Weekly new hospital admissions,8837.0,Italy
2020-10-23,Weekly new hospital admissions,9595.0,Italy
2020-10-24,Weekly new hospital admissions,10056.0,Italy
2020-10-25,Weekly new hospital admissions,10667.0,Italy
2020-10-26,Weekly new hospital admissions,11350.0,Italy
2020-10-27,Weekly new hospital admissions,11891.0,Italy
2020-10-28,Weekly new hospital admissions,12468.0,Italy
2020-10-29,Weekly new hospital admissions,13051.0,Italy
2020-10-30,Weekly new hospital admissions,13614.0,Italy
2020-10-31,Weekly new hospital admissions,14099.0,Italy
2020-11-01,Weekly new hospital admissions,14376.0,Italy
2020-11-02,Weekly new hospital admissions,14815.0,Italy
2020-11-03,Weekly new hospital admissions,15337.0,Italy
2020-11-04,Weekly new hospital admissions,15941.0,Italy
2020-11-05,Weekly new hospital admissions,16453.0,Italy
2020-11-06,Weekly new hospital admissions,16729.0,Italy
2020-11-07,Weekly new hospital admissions,17097.0,Italy
2020-11-08,Weekly new hospital admissions,17348.0,Italy
2020-11-09,Weekly new hospital admissions,17414.0,Italy
2020-11-10,Weekly new hospital admissions,17462.0,Italy
2020-11-11,Weekly new hospital admissions,17475.0,Italy
2020-11-12,Weekly new hospital admissions,17380.0,Italy
2020-11-13,Weekly new hospital admissions,17368.0,Italy
2020-11-14,Weekly new hospital admissions,17262.0,Italy
2020-11-15,Weekly new hospital admissions,17111.0,Italy
2020-11-16,Weekly new hospital admissions,17096.0,Italy
2020-11-17,Weekly new hospital admissions,17022.0,Italy
2020-11-18,Weekly new hospital admissions,16712.0,Italy
2020-11-19,Weekly new hospital admissions,16491.0,Italy
2020-11-20,Weekly new hospital admissions,16142.0,Italy
2020-11-21,Weekly new hospital admissions,15648.0,Italy
2020-11-22,Weekly new hospital admissions,15225.0,Italy
2020-11-23,Weekly new hospital admissions,14761.0,Italy
2020-11-24,Weekly new hospital admissions,14241.0,Italy
2020-11-25,Weekly new hospital admissions,13773.0,Italy
2020-11-26,Weekly new hospital admissions,13240.0,Italy
2020-11-27,Weekly new hospital admissions,12808.0,Italy
2020-11-28,Weekly new hospital admissions,12592.0,Italy
2020-11-29,Weekly new hospital admissions,12366.0,Italy
2020-11-30,Weekly new hospital admissions,11948.0,Italy
2020-12-01,Weekly new hospital admissions,11620.0,Italy
2020-12-02,Weekly new hospital admissions,11389.0,Italy
2020-12-03,Weekly new hospital admissions,11191.0,Italy
2020-12-04,Weekly new hospital admissions,10959.0,Italy
2020-12-05,Weekly new hospital admissions,10781.0,Italy
2020-12-06,Weekly new hospital admissions,10668.0,Italy
2020-12-07,Weekly new hospital admissions,10477.0,Italy
2020-12-08,Weekly new hospital admissions,10157.0,Italy
2020-12-09,Weekly new hospital admissions,9964.0,Italy
2020-12-10,Weekly new hospital admissions,9786.0,Italy
2020-12-11,Weekly new hospital admissions,9685.0,Italy
2020-12-12,Weekly new hospital admissions,9519.0,Italy
2020-12-13,Weekly new hospital admissions,9299.0,Italy
2020-12-14,Weekly new hospital admissions,9243.0,Italy
2020-12-15,Weekly new hospital admissions,9218.0,Italy
2020-12-16,Weekly new hospital admissions,9043.0,Italy
2020-12-17,Weekly new hospital admissions,8939.0,Italy
2020-12-18,Weekly new hospital admissions,8763.0,Italy
2020-12-19,Weekly new hospital admissions,8707.0,Italy
2020-12-20,Weekly new hospital admissions,8705.0,Italy
2020-12-21,Weekly new hospital admissions,8605.0,Italy
2020-12-22,Weekly new hospital admissions,8622.0,Italy
2020-12-23,Weekly new hospital admissions,8606.0,Italy
2020-12-24,Weekly new hospital admissions,8572.0,Italy
2020-12-25,Weekly new hospital admissions,8297.0,Italy
2020-12-26,Weekly new hospital admissions,8238.0,Italy
2020-12-27,Weekly new hospital admissions,8399.0,Italy
2020-12-28,Weekly new hospital admissions,8502.0,Italy
2020-12-29,Weekly new hospital admissions,8623.0,Italy
2020-12-30,Weekly new hospital admissions,8728.0,Italy
2020-12-31,Weekly new hospital admissions,8837.0,Italy
2021-01-01,Weekly new hospital admissions,8997.0,Italy
2021-01-02,Weekly new hospital admissions,9264.0,Italy
2021-01-03,Weekly new hospital admissions,9276.0,Italy
2021-01-04,Weekly new hospital admissions,9348.0,Italy
2021-01-05,Weekly new hospital admissions,9403.0,Italy
2021-01-06,Weekly new hospital admissions,9280.0,Italy
2021-01-07,Weekly new hospital admissions,9318.0,Italy
2021-01-08,Weekly new hospital admissions,9636.0,Italy
2021-01-09,Weekly new hospital admissions,9498.0,Italy
2021-01-10,Weekly new hospital admissions,9435.0,Italy
2021-01-11,Weekly new hospital admissions,9348.0,Italy
2021-01-12,Weekly new hospital admissions,9189.0,Italy
2021-01-13,Weekly new hospital admissions,9244.0,Italy
2021-01-14,Weekly new hospital admissions,9122.0,Italy
2021-01-15,Weekly new hospital admissions,8899.0,Italy
2021-01-16,Weekly new hospital admissions,8821.0,Italy
2021-01-17,Weekly new hospital admissions,8593.0,Italy
2021-01-18,Weekly new hospital admissions,8410.0,Italy
2021-01-19,Weekly new hospital admissions,8179.0,Italy
2021-01-20,Weekly new hospital admissions,7983.0,Italy
2021-01-21,Weekly new hospital admissions,7836.0,Italy
2021-01-22,Weekly new hospital admissions,7653.0,Italy
2021-01-23,Weekly new hospital admissions,7451.0,Italy
2021-01-24,Weekly new hospital admissions,7385.0,Italy
2021-01-25,Weekly new hospital admissions,7400.0,Italy
2021-01-26,Weekly new hospital admissions,7299.0,Italy
2021-01-27,Weekly new hospital admissions,7142.0,Italy
2021-01-28,Weekly new hospital admissions,6983.0,Italy
2021-01-29,Weekly new hospital admissions,6944.0,Italy
2021-01-30,Weekly new hospital admissions,6847.0,Italy
2021-01-31,Weekly new hospital admissions,6814.0,Italy
2021-02-01,Weekly new hospital admissions,6694.0,Italy
2021-02-02,Weekly new hospital admissions,6702.0,Italy
2021-02-03,Weekly new hospital admissions,6761.0,Italy
2021-02-04,Weekly new hospital admissions,6754.0,Italy
2021-02-05,Weekly new hospital admissions,6704.0,Italy
2021-02-06,Weekly new hospital admissions,6697.0,Italy
2021-02-07,Weekly new hospital admissions,6718.0,Italy
2021-02-08,Weekly new hospital admissions,6682.0,Italy
2021-02-09,Weekly new hospital admissions,6663.0,Italy
2021-02-10,Weekly new hospital admissions,6689.0,Italy
2021-02-11,Weekly new hospital admissions,6693.0,Italy
2021-02-12,Weekly new hospital admissions,6656.0,Italy
2021-02-13,Weekly new hospital admissions,6610.0,Italy
2021-02-14,Weekly new hospital admissions,6504.0,Italy
2021-02-15,Weekly new hospital admissions,6456.0,Italy
2021-02-16,Weekly new hospital admissions,6439.0,Italy
2021-02-17,Weekly new hospital admissions,6456.0,Italy
2021-02-18,Weekly new hospital admissions,6527.0,Italy
2021-02-19,Weekly new hospital admissions,6625.0,Italy
2021-02-20,Weekly new hospital admissions,6774.0,Italy
2021-02-21,Weekly new hospital admissions,6963.0,Italy
2021-02-22,Weekly new hospital admissions,7278.0,Italy
2021-02-23,Weekly new hospital admissions,7612.0,Italy
2021-02-24,Weekly new hospital admissions,7790.0,Italy
2021-02-25,Weekly new hospital admissions,7947.0,Italy
2021-02-26,Weekly new hospital admissions,8259.0,Italy
2021-02-27,Weekly new hospital admissions,8591.0,Italy
2021-02-28,Weekly new hospital admissions,8822.0,Italy
2021-03-01,Weekly new hospital admissions,8984.0,Italy
2021-03-02,Weekly new hospital admissions,9339.0,Italy
2021-03-03,Weekly new hospital admissions,9753.0,Italy
2021-03-04,Weekly new hospital admissions,10122.0,Italy
2021-03-05,Weekly new hospital admissions,10471.0,Italy
2021-03-06,Weekly new hospital admissions,10718.0,Italy
2021-03-07,Weekly new hospital admissions,10937.0,Italy
2021-03-08,Weekly new hospital admissions,11325.0,Italy
2021-03-09,Weekly new hospital admissions,11540.0,Italy
2021-03-10,Weekly new hospital admissions,11781.0,Italy
2021-03-11,Weekly new hospital admissions,11941.0,Italy
2021-03-12,Weekly new hospital admissions,12114.0,Italy
2021-03-13,Weekly new hospital admissions,12376.0,Italy
2021-03-14,Weekly new hospital admissions,12614.0,Italy
2021-03-15,Weekly new hospital admissions,12812.0,Italy
2021-03-16,Weekly new hospital admissions,13014.0,Italy
2021-03-17,Weekly new hospital admissions,13084.0,Italy
2021-03-18,Weekly new hospital admissions,13162.0,Italy
2021-03-19,Weekly new hospital admissions,13170.0,Italy
2021-03-20,Weekly new hospital admissions,13148.0,Italy
2021-03-21,Weekly new hospital admissions,13170.0,Italy
2021-03-22,Weekly new hospital admissions,13053.0,Italy
2021-03-23,Weekly new hospital admissions,12847.0,Italy
2021-03-24,Weekly new hospital admissions,12722.0,Italy
2021-03-25,Weekly new hospital admissions,12759.0,Italy
2021-03-26,Weekly new hospital admissions,12779.0,Italy
2021-03-27,Weekly new hospital admissions,12653.0,Italy
2021-03-28,Weekly new hospital admissions,12410.0,Italy
2021-03-29,Weekly new hospital admissions,12343.0,Italy
2021-03-30,Weekly new hospital admissions,12252.0,Italy
2021-03-31,Weekly new hospital admissions,12167.0,Italy
2021-04-01,Weekly new hospital admissions,12035.0,Italy
2021-04-02,Weekly new hospital admissions,11954.0,Italy
2021-04-03,Weekly new hospital admissions,11870.0,Italy
2021-04-04,Weekly new hospital admissions,11767.0,Italy
2021-04-05,Weekly new hospital admissions,11286.0,Italy
2021-04-06,Weekly new hospital admissions,11129.0,Italy
2021-04-07,Weekly new hospital admissions,10885.0,Italy
2021-04-08,Weekly new hospital admissions,10534.0,Italy
2021-04-09,Weekly new hospital admissions,10103.0,Italy
2021-04-10,Weekly new hospital admissions,9758.0,Italy
2021-04-11,Weekly new hospital admissions,9573.0,Italy
2021-04-12,Weekly new hospital admissions,9425.0,Italy
2021-04-13,Weekly new hospital admissions,9125.0,Italy
2021-04-14,Weekly new hospital admissions,8796.0,Italy
2021-04-15,Weekly new hospital admissions,8552.0,Italy
2021-04-16,Weekly new hospital admissions,8207.0,Italy
2021-04-17,Weekly new hospital admissions,7951.0,Italy
2021-04-18,Weekly new hospital admissions,7848.0,Italy
2021-04-19,Weekly new hospital admissions,7725.0,Italy
2021-04-20,Weekly new hospital admissions,7536.0,Italy
2021-04-21,Weekly new hospital admissions,7473.0,Italy
2021-04-22,Weekly new hospital admissions,7341.0,Italy
2021-04-23,Weekly new hospital admissions,7335.0,Italy
2021-04-24,Weekly new hospital admissions,7271.0,Italy
2021-04-25,Weekly new hospital admissions,7093.0,Italy
2021-04-26,Weekly new hospital admissions,6989.0,Italy
2021-04-27,Weekly new hospital admissions,6805.0,Italy
2021-04-28,Weekly new hospital admissions,6690.0,Italy
2021-04-29,Weekly new hospital admissions,6545.0,Italy
2021-04-30,Weekly new hospital admissions,6396.0,Italy
2021-05-01,Weekly new hospital admissions,6194.0,Italy
2021-05-02,Weekly new hospital admissions,6034.0,Italy
2021-05-03,Weekly new hospital admissions,5890.0,Italy
2021-05-04,Weekly new hospital admissions,5798.0,Italy
2021-05-05,Weekly new hospital admissions,5578.0,Italy
2021-05-06,Weekly new hospital admissions,5407.0,Italy
2021-05-07,Weekly new hospital admissions,5189.0,Italy
2021-05-08,Weekly new hospital admissions,5063.0,Italy
2021-05-09,Weekly new hospital admissions,4847.0,Italy
2021-05-10,Weekly new hospital admissions,4648.0,Italy
2021-05-11,Weekly new hospital admissions,4348.0,Italy
2021-05-12,Weekly new hospital admissions,4151.0,Italy
2021-05-13,Weekly new hospital admissions,4015.0,Italy
2021-05-14,Weekly new hospital admissions,3841.0,Italy
2021-05-15,Weekly new hospital admissions,3644.0,Italy
2021-05-16,Weekly new hospital admissions,3553.0,Italy
2021-05-17,Weekly new hospital admissions,3371.0,Italy
2021-05-18,Weekly new hospital admissions,3221.0,Italy
2021-05-19,Weekly new hospital admissions,3047.0,Italy
2021-05-20,Weekly new hospital admissions,2882.0,Italy
2021-05-21,Weekly new hospital admissions,2720.0,Italy
2021-05-22,Weekly new hospital admissions,2573.0,Italy
2021-05-23,Weekly new hospital admissions,2477.0,Italy
2021-05-24,Weekly new hospital admissions,2306.0,Italy
2021-05-25,Weekly new hospital admissions,2173.0,Italy
2021-05-26,Weekly new hospital admissions,2087.0,Italy
2021-05-27,Weekly new hospital admissions,1941.0,Italy
2021-05-28,Weekly new hospital admissions,1878.0,Italy
2021-05-29,Weekly new hospital admissions,1825.0,Italy
2021-05-30,Weekly new hospital admissions,1745.0,Italy
2021-05-31,Weekly new hospital admissions,1663.0,Italy
2021-06-01,Weekly new hospital admissions,1633.0,Italy
2021-06-02,Weekly new hospital admissions,1519.0,Italy
2021-06-03,Weekly new hospital admissions,1478.0,Italy
2021-06-04,Weekly new hospital admissions,1407.0,Italy
2021-06-05,Weekly new hospital admissions,1345.0,Italy
2021-06-06,Weekly new hospital admissions,1321.0,Italy
2021-06-07,Weekly new hospital admissions,1291.0,Italy
2021-06-08,Weekly new hospital admissions,1236.0,Italy
2021-06-09,Weekly new hospital admissions,1210.0,Italy
2021-06-10,Weekly new hospital admissions,1150.0,Italy
2021-06-11,Weekly new hospital admissions,1075.0,Italy
2021-06-12,Weekly new hospital admissions,1046.0,Italy
2021-06-13,Weekly new hospital admissions,999.0,Italy
2021-06-14,Weekly new hospital admissions,921.0,Italy
2021-06-15,Weekly new hospital admissions,881.0,Italy
2021-06-16,Weekly new hospital admissions,840.0,Italy
2021-06-17,Weekly new hospital admissions,804.0,Italy
2021-06-18,Weekly new hospital admissions,773.0,Italy
2021-06-19,Weekly new hospital admissions,716.0,Italy
2021-06-20,Weekly new hospital admissions,669.0,Italy
2021-06-21,Weekly new hospital admissions,634.0,Italy
2021-06-22,Weekly new hospital admissions,610.0,Italy
2021-06-23,Weekly new hospital admissions,574.0,Italy
2021-06-24,Weekly new hospital admissions,569.0,Italy
2021-06-25,Weekly new hospital admissions,540.0,Italy
2021-06-26,Weekly new hospital admissions,539.0,Italy
2021-06-27,Weekly new hospital admissions,528.0,Italy
2021-06-28,Weekly new hospital admissions,528.0,Italy
2021-06-29,Weekly new hospital admissions,495.0,Italy
2021-06-30,Weekly new hospital admissions,485.0,Italy
2021-07-01,Weekly new hospital admissions,470.0,Italy
2021-07-02,Weekly new hospital admissions,459.0,Italy
2021-07-03,Weekly new hospital admissions,450.0,Italy
2021-07-04,Weekly new hospital admissions,463.0,Italy
2021-07-05,Weekly new hospital admissions,454.0,Italy
2021-07-06,Weekly new hospital admissions,451.0,Italy
2021-07-07,Weekly new hospital admissions,476.0,Italy
2021-07-08,Weekly new hospital admissions,494.0,Italy
2021-07-09,Weekly new hospital admissions,521.0,Italy
2021-07-10,Weekly new hospital admissions,534.0,Italy
2021-07-11,Weekly new hospital admissions,536.0,Italy
2021-07-12,Weekly new hospital admissions,555.0,Italy
2021-07-13,Weekly new hospital admissions,598.0,Italy
