date,indicator,value,entity
2021-01-01,Daily ICU occupancy,642.0,Netherlands
2021-01-02,Daily ICU occupancy,650.0,Netherlands
2021-01-03,Daily ICU occupancy,643.0,Netherlands
2021-01-04,Daily ICU occupancy,651.0,Netherlands
2021-01-05,Daily ICU occupancy,661.0,Netherlands
2021-01-06,Daily ICU occupancy,631.0,Netherlands
2021-01-07,Daily ICU occupancy,636.0,Netherlands
2021-01-08,Daily ICU occupancy,638.0,Netherlands
2021-01-09,Daily ICU occupancy,630.0,Netherlands
2021-01-10,Daily ICU occupancy,648.0,Netherlands
2021-01-11,Daily ICU occupancy,632.0,Netherlands
2021-01-12,Daily ICU occupancy,635.0,Netherlands
2021-01-13,Daily ICU occupancy,639.0,Netherlands
2021-01-14,Daily ICU occupancy,621.0,Netherlands
2021-01-15,Daily ICU occupancy,619.0,Netherlands
2021-01-16,Daily ICU occupancy,587.0,Netherlands
2021-01-17,Daily ICU occupancy,596.0,Netherlands
2021-01-18,Daily ICU occupancy,602.0,Netherlands
2021-01-19,Daily ICU occupancy,603.0,Netherlands
2021-01-20,Daily ICU occupancy,598.0,Netherlands
2021-01-21,Daily ICU occupancy,593.0,Netherlands
2021-01-22,Daily ICU occupancy,589.0,Netherlands
2021-01-23,Daily ICU occupancy,582.0,Netherlands
2021-01-24,Daily ICU occupancy,600.0,Netherlands
2021-01-25,Daily ICU occupancy,582.0,Netherlands
2021-01-26,Daily ICU occupancy,582.0,Netherlands
2021-01-27,Daily ICU occupancy,571.0,Netherlands
2021-01-28,Daily ICU occupancy,557.0,Netherlands
2021-01-29,Daily ICU occupancy,554.0,Netherlands
2021-01-30,Daily ICU occupancy,542.0,Netherlands
2021-01-31,Daily ICU occupancy,549.0,Netherlands
2021-02-01,Daily ICU occupancy,540.0,Netherlands
2021-02-02,Daily ICU occupancy,541.0,Netherlands
2021-02-03,Daily ICU occupancy,530.0,Netherlands
2021-02-04,Daily ICU occupancy,509.0,Netherlands
2021-02-05,Daily ICU occupancy,491.0,Netherlands
2021-02-06,Daily ICU occupancy,464.0,Netherlands
2021-02-07,Daily ICU occupancy,447.0,Netherlands
2021-02-08,Daily ICU occupancy,449.0,Netherlands
2021-02-09,Daily ICU occupancy,461.0,Netherlands
2021-02-10,Daily ICU occupancy,449.0,Netherlands
2021-02-11,Daily ICU occupancy,442.0,Netherlands
2021-02-12,Daily ICU occupancy,440.0,Netherlands
2021-02-13,Daily ICU occupancy,444.0,Netherlands
2021-02-14,Daily ICU occupancy,435.0,Netherlands
2021-02-15,Daily ICU occupancy,430.0,Netherlands
2021-02-16,Daily ICU occupancy,431.0,Netherlands
2021-02-17,Daily ICU occupancy,423.0,Netherlands
2021-02-18,Daily ICU occupancy,434.0,Netherlands
2021-02-19,Daily ICU occupancy,413.0,Netherlands
2021-02-20,Daily ICU occupancy,432.0,Netherlands
2021-02-21,Daily ICU occupancy,453.0,Netherlands
2021-02-22,Daily ICU occupancy,459.0,Netherlands
2021-02-23,Daily ICU occupancy,446.0,Netherlands
2021-02-24,Daily ICU occupancy,444.0,Netherlands
2021-02-25,Daily ICU occupancy,432.0,Netherlands
2021-02-26,Daily ICU occupancy,439.0,Netherlands
2021-02-27,Daily ICU occupancy,429.0,Netherlands
2021-02-28,Daily ICU occupancy,440.0,Netherlands
2021-03-01,Daily ICU occupancy,440.0,Netherlands
2021-03-02,Daily ICU occupancy,453.0,Netherlands
2021-03-03,Daily ICU occupancy,459.0,Netherlands
2021-03-04,Daily ICU occupancy,456.0,Netherlands
2021-03-05,Daily ICU occupancy,458.0,Netherlands
2021-03-06,Daily ICU occupancy,465.0,Netherlands
2021-03-07,Daily ICU occupancy,468.0,Netherlands
2021-03-08,Daily ICU occupancy,480.0,Netherlands
2021-03-09,Daily ICU occupancy,480.0,Netherlands
2021-03-10,Daily ICU occupancy,476.0,Netherlands
2021-03-11,Daily ICU occupancy,499.0,Netherlands
2021-03-12,Daily ICU occupancy,502.0,Netherlands
2021-03-13,Daily ICU occupancy,480.0,Netherlands
2021-03-14,Daily ICU occupancy,474.0,Netherlands
2021-03-15,Daily ICU occupancy,483.0,Netherlands
2021-03-16,Daily ICU occupancy,503.0,Netherlands
2021-03-17,Daily ICU occupancy,489.0,Netherlands
2021-03-18,Daily ICU occupancy,492.0,Netherlands
2021-03-19,Daily ICU occupancy,504.0,Netherlands
2021-03-20,Daily ICU occupancy,535.0,Netherlands
2021-03-21,Daily ICU occupancy,546.0,Netherlands
2021-03-22,Daily ICU occupancy,563.0,Netherlands
2021-03-23,Daily ICU occupancy,555.0,Netherlands
2021-03-24,Daily ICU occupancy,558.0,Netherlands
2021-03-25,Daily ICU occupancy,560.0,Netherlands
2021-03-26,Daily ICU occupancy,562.0,Netherlands
2021-03-27,Daily ICU occupancy,582.0,Netherlands
2021-03-28,Daily ICU occupancy,592.0,Netherlands
2021-03-29,Daily ICU occupancy,600.0,Netherlands
2021-03-30,Daily ICU occupancy,610.0,Netherlands
2021-03-31,Daily ICU occupancy,611.0,Netherlands
2021-04-01,Daily ICU occupancy,627.0,Netherlands
2021-04-02,Daily ICU occupancy,641.0,Netherlands
2021-04-03,Daily ICU occupancy,666.0,Netherlands
2021-04-04,Daily ICU occupancy,661.0,Netherlands
2021-04-05,Daily ICU occupancy,678.0,Netherlands
2021-04-06,Daily ICU occupancy,687.0,Netherlands
2021-04-07,Daily ICU occupancy,713.0,Netherlands
2021-04-08,Daily ICU occupancy,737.0,Netherlands
2021-04-09,Daily ICU occupancy,718.0,Netherlands
2021-04-10,Daily ICU occupancy,721.0,Netherlands
2021-04-11,Daily ICU occupancy,726.0,Netherlands
2021-04-12,Daily ICU occupancy,724.0,Netherlands
2021-04-13,Daily ICU occupancy,726.0,Netherlands
2021-04-14,Daily ICU occupancy,715.0,Netherlands
2021-04-15,Daily ICU occupancy,718.0,Netherlands
2021-04-16,Daily ICU occupancy,723.0,Netherlands
2021-04-17,Daily ICU occupancy,731.0,Netherlands
2021-04-18,Daily ICU occupancy,738.0,Netherlands
2021-04-19,Daily ICU occupancy,746.0,Netherlands
2021-04-20,Daily ICU occupancy,755.0,Netherlands
2021-04-21,Daily ICU occupancy,756.0,Netherlands
2021-04-22,Daily ICU occupancy,764.0,Netherlands
2021-04-23,Daily ICU occupancy,754.0,Netherlands
2021-04-24,Daily ICU occupancy,738.0,Netherlands
2021-04-25,Daily ICU occupancy,769.0,Netherlands
2021-04-26,Daily ICU occupancy,749.0,Netherlands
2021-04-27,Daily ICU occupancy,746.0,Netherlands
2021-04-28,Daily ICU occupancy,740.0,Netherlands
2021-04-29,Daily ICU occupancy,741.0,Netherlands
2021-04-30,Daily ICU occupancy,736.0,Netherlands
2021-05-01,Daily ICU occupancy,742.0,Netherlands
2021-05-02,Daily ICU occupancy,733.0,Netherlands
2021-05-03,Daily ICU occupancy,754.0,Netherlands
2021-05-04,Daily ICU occupancy,740.0,Netherlands
2021-05-05,Daily ICU occupancy,752.0,Netherlands
2021-05-06,Daily ICU occupancy,725.0,Netherlands
2021-05-07,Daily ICU occupancy,720.0,Netherlands
2021-05-08,Daily ICU occupancy,699.0,Netherlands
2021-05-09,Daily ICU occupancy,686.0,Netherlands
2021-05-10,Daily ICU occupancy,674.0,Netherlands
2021-05-11,Daily ICU occupancy,671.0,Netherlands
2021-05-12,Daily ICU occupancy,657.0,Netherlands
2021-05-13,Daily ICU occupancy,649.0,Netherlands
2021-05-14,Daily ICU occupancy,645.0,Netherlands
2021-05-15,Daily ICU occupancy,622.0,Netherlands
2021-05-16,Daily ICU occupancy,604.0,Netherlands
2021-05-17,Daily ICU occupancy,593.0,Netherlands
2021-05-18,Daily ICU occupancy,557.0,Netherlands
2021-05-19,Daily ICU occupancy,548.0,Netherlands
2021-05-20,Daily ICU occupancy,525.0,Netherlands
2021-05-21,Daily ICU occupancy,517.0,Netherlands
2021-05-22,Daily ICU occupancy,509.0,Netherlands
2021-05-23,Daily ICU occupancy,505.0,Netherlands
2021-05-24,Daily ICU occupancy,497.0,Netherlands
2021-05-25,Daily ICU occupancy,479.0,Netherlands
2021-05-26,Daily ICU occupancy,462.0,Netherlands
2021-05-27,Daily ICU occupancy,442.0,Netherlands
2021-05-28,Daily ICU occupancy,422.0,Netherlands
2021-05-29,Daily ICU occupancy,403.0,Netherlands
2021-05-30,Daily ICU occupancy,391.0,Netherlands
2021-05-31,Daily ICU occupancy,381.0,Netherlands
2021-06-01,Daily ICU occupancy,351.0,Netherlands
2021-06-02,Daily ICU occupancy,319.0,Netherlands
2021-06-03,Daily ICU occupancy,295.0,Netherlands
2021-06-04,Daily ICU occupancy,269.0,Netherlands
2021-06-05,Daily ICU occupancy,247.0,Netherlands
2021-06-06,Daily ICU occupancy,230.0,Netherlands
2021-06-07,Daily ICU occupancy,227.0,Netherlands
2021-06-08,Daily ICU occupancy,209.0,Netherlands
2021-06-09,Daily ICU occupancy,193.0,Netherlands
2021-06-10,Daily ICU occupancy,178.0,Netherlands
2021-06-11,Daily ICU occupancy,159.0,Netherlands
2021-06-12,Daily ICU occupancy,149.0,Netherlands
2021-06-13,Daily ICU occupancy,147.0,Netherlands
2021-06-14,Daily ICU occupancy,143.0,Netherlands
2021-06-15,Daily ICU occupancy,133.0,Netherlands
2021-06-16,Daily ICU occupancy,122.0,Netherlands
2021-06-17,Daily ICU occupancy,107.0,Netherlands
2021-06-18,Daily ICU occupancy,100.0,Netherlands
2021-06-19,Daily ICU occupancy,100.0,Netherlands
2021-06-20,Daily ICU occupancy,100.0,Netherlands
2021-06-21,Daily ICU occupancy,89.0,Netherlands
2021-06-22,Daily ICU occupancy,84.0,Netherlands
2021-06-23,Daily ICU occupancy,72.0,Netherlands
2021-06-24,Daily ICU occupancy,70.0,Netherlands
2021-06-25,Daily ICU occupancy,58.0,Netherlands
2021-06-26,Daily ICU occupancy,53.0,Netherlands
2021-06-27,Daily ICU occupancy,52.0,Netherlands
2021-06-28,Daily ICU occupancy,57.0,Netherlands
2021-06-29,Daily ICU occupancy,51.0,Netherlands
2021-06-30,Daily ICU occupancy,49.0,Netherlands
2021-07-01,Daily ICU occupancy,41.0,Netherlands
2021-07-02,Daily ICU occupancy,39.0,Netherlands
2021-07-03,Daily ICU occupancy,33.0,Netherlands
2021-07-04,Daily ICU occupancy,30.0,Netherlands
2021-07-05,Daily ICU occupancy,47.0,Netherlands
2021-07-06,Daily ICU occupancy,46.0,Netherlands
2021-07-07,Daily ICU occupancy,45.0,Netherlands
2021-07-08,Daily ICU occupancy,41.0,Netherlands
2021-07-09,Daily ICU occupancy,34.0,Netherlands
2021-07-10,Daily ICU occupancy,32.0,Netherlands
2021-07-11,Daily ICU occupancy,38.0,Netherlands
2021-07-12,Daily ICU occupancy,37.0,Netherlands
2021-07-13,Daily ICU occupancy,30.0,Netherlands
2021-07-14,Daily ICU occupancy,34.0,Netherlands
2021-07-15,Daily ICU occupancy,32.0,Netherlands
2021-07-16,Daily ICU occupancy,31.0,Netherlands
2021-07-17,Daily ICU occupancy,39.0,Netherlands
2021-07-18,Daily ICU occupancy,39.0,Netherlands
2021-07-19,Daily ICU occupancy,47.0,Netherlands
2021-07-20,Daily ICU occupancy,62.0,Netherlands
2021-07-21,Daily ICU occupancy,71.0,Netherlands
2021-07-22,Daily ICU occupancy,73.0,Netherlands
2021-07-23,Daily ICU occupancy,74.0,Netherlands
2021-07-24,Daily ICU occupancy,84.0,Netherlands
2021-07-25,Daily ICU occupancy,103.0,Netherlands
2021-07-26,Daily ICU occupancy,109.0,Netherlands
2021-07-27,Daily ICU occupancy,125.0,Netherlands
2021-07-28,Daily ICU occupancy,135.0,Netherlands
2021-07-29,Daily ICU occupancy,144.0,Netherlands
2021-07-30,Daily ICU occupancy,152.0,Netherlands
2021-07-31,Daily ICU occupancy,155.0,Netherlands
2021-08-01,Daily ICU occupancy,162.0,Netherlands
2021-08-02,Daily ICU occupancy,174.0,Netherlands
2021-08-03,Daily ICU occupancy,173.0,Netherlands
2021-08-04,Daily ICU occupancy,169.0,Netherlands
2021-08-05,Daily ICU occupancy,178.0,Netherlands
2021-08-06,Daily ICU occupancy,184.0,Netherlands
2021-08-07,Daily ICU occupancy,180.0,Netherlands
2021-08-08,Daily ICU occupancy,180.0,Netherlands
2021-08-09,Daily ICU occupancy,190.0,Netherlands
2021-08-10,Daily ICU occupancy,194.0,Netherlands
2021-08-11,Daily ICU occupancy,191.0,Netherlands
2021-08-12,Daily ICU occupancy,188.0,Netherlands
2021-08-13,Daily ICU occupancy,172.0,Netherlands
2021-08-14,Daily ICU occupancy,173.0,Netherlands
2021-08-15,Daily ICU occupancy,177.0,Netherlands
2021-08-16,Daily ICU occupancy,177.0,Netherlands
2021-08-17,Daily ICU occupancy,175.0,Netherlands
2021-08-18,Daily ICU occupancy,184.0,Netherlands
2021-08-19,Daily ICU occupancy,186.0,Netherlands
2021-08-20,Daily ICU occupancy,187.0,Netherlands
2021-08-21,Daily ICU occupancy,190.0,Netherlands
2021-08-22,Daily ICU occupancy,190.0,Netherlands
2021-08-23,Daily ICU occupancy,193.0,Netherlands
2021-08-24,Daily ICU occupancy,200.0,Netherlands
2021-08-25,Daily ICU occupancy,198.0,Netherlands
2021-08-26,Daily ICU occupancy,192.0,Netherlands
2021-08-27,Daily ICU occupancy,192.0,Netherlands
2021-08-28,Daily ICU occupancy,192.0,Netherlands
2021-08-29,Daily ICU occupancy,192.0,Netherlands
2021-08-30,Daily ICU occupancy,189.0,Netherlands
2021-08-31,Daily ICU occupancy,180.0,Netherlands
2021-09-01,Daily ICU occupancy,173.0,Netherlands
2021-09-02,Daily ICU occupancy,172.0,Netherlands
2021-09-03,Daily ICU occupancy,176.0,Netherlands
2021-09-04,Daily ICU occupancy,173.0,Netherlands
2021-09-05,Daily ICU occupancy,176.0,Netherlands
2021-09-06,Daily ICU occupancy,184.0,Netherlands
2021-09-07,Daily ICU occupancy,176.0,Netherlands
2021-09-08,Daily ICU occupancy,185.0,Netherlands
2021-09-09,Daily ICU occupancy,182.0,Netherlands
2021-09-10,Daily ICU occupancy,180.0,Netherlands
2021-09-11,Daily ICU occupancy,179.0,Netherlands
2021-09-12,Daily ICU occupancy,173.0,Netherlands
2021-09-13,Daily ICU occupancy,174.0,Netherlands
2021-09-14,Daily ICU occupancy,171.0,Netherlands
2021-09-15,Daily ICU occupancy,157.0,Netherlands
2021-09-16,Daily ICU occupancy,161.0,Netherlands
2021-09-17,Daily ICU occupancy,154.0,Netherlands
2021-09-18,Daily ICU occupancy,156.0,Netherlands
2021-09-19,Daily ICU occupancy,160.0,Netherlands
2021-09-20,Daily ICU occupancy,161.0,Netherlands
2021-09-21,Daily ICU occupancy,165.0,Netherlands
2021-09-22,Daily ICU occupancy,149.0,Netherlands
2021-09-23,Daily ICU occupancy,146.0,Netherlands
2021-09-24,Daily ICU occupancy,147.0,Netherlands
2021-09-25,Daily ICU occupancy,137.0,Netherlands
2021-09-26,Daily ICU occupancy,138.0,Netherlands
2021-09-27,Daily ICU occupancy,133.0,Netherlands
2021-09-28,Daily ICU occupancy,124.0,Netherlands
2021-09-29,Daily ICU occupancy,113.0,Netherlands
2021-09-30,Daily ICU occupancy,113.0,Netherlands
2021-10-01,Daily ICU occupancy,108.0,Netherlands
2021-10-02,Daily ICU occupancy,102.0,Netherlands
2021-10-03,Daily ICU occupancy,104.0,Netherlands
2021-10-04,Daily ICU occupancy,101.0,Netherlands
2021-10-05,Daily ICU occupancy,103.0,Netherlands
2021-10-06,Daily ICU occupancy,100.0,Netherlands
2021-10-07,Daily ICU occupancy,100.0,Netherlands
2021-10-08,Daily ICU occupancy,102.0,Netherlands
2021-10-09,Daily ICU occupancy,98.0,Netherlands
2021-10-10,Daily ICU occupancy,103.0,Netherlands
2021-10-11,Daily ICU occupancy,109.0,Netherlands
2021-10-12,Daily ICU occupancy,113.0,Netherlands
2021-10-13,Daily ICU occupancy,111.0,Netherlands
2021-10-14,Daily ICU occupancy,115.0,Netherlands
2021-10-15,Daily ICU occupancy,114.0,Netherlands
2021-10-16,Daily ICU occupancy,115.0,Netherlands
2021-10-17,Daily ICU occupancy,118.0,Netherlands
2021-10-18,Daily ICU occupancy,121.0,Netherlands
2021-10-19,Daily ICU occupancy,130.0,Netherlands
2021-10-20,Daily ICU occupancy,140.0,Netherlands
2021-10-21,Daily ICU occupancy,138.0,Netherlands
2021-10-22,Daily ICU occupancy,148.0,Netherlands
2021-10-23,Daily ICU occupancy,153.0,Netherlands
2021-10-24,Daily ICU occupancy,159.0,Netherlands
2021-10-25,Daily ICU occupancy,175.0,Netherlands
2021-10-26,Daily ICU occupancy,174.0,Netherlands
2021-10-27,Daily ICU occupancy,182.0,Netherlands
2021-10-28,Daily ICU occupancy,183.0,Netherlands
2021-10-29,Daily ICU occupancy,199.0,Netherlands
2021-10-30,Daily ICU occupancy,201.0,Netherlands
2021-10-31,Daily ICU occupancy,202.0,Netherlands
2021-11-01,Daily ICU occupancy,224.0,Netherlands
2021-11-02,Daily ICU occupancy,224.0,Netherlands
2021-11-03,Daily ICU occupancy,234.0,Netherlands
2021-11-04,Daily ICU occupancy,252.0,Netherlands
2021-11-05,Daily ICU occupancy,261.0,Netherlands
2021-11-06,Daily ICU occupancy,263.0,Netherlands
2021-11-07,Daily ICU occupancy,284.0,Netherlands
2021-11-08,Daily ICU occupancy,298.0,Netherlands
2021-11-09,Daily ICU occupancy,292.0,Netherlands
2021-11-10,Daily ICU occupancy,302.0,Netherlands
2021-11-11,Daily ICU occupancy,306.0,Netherlands
2021-11-12,Daily ICU occupancy,321.0,Netherlands
2021-11-13,Daily ICU occupancy,331.0,Netherlands
2021-11-14,Daily ICU occupancy,345.0,Netherlands
2021-11-15,Daily ICU occupancy,349.0,Netherlands
2021-11-16,Daily ICU occupancy,359.0,Netherlands
2021-11-17,Daily ICU occupancy,369.0,Netherlands
2021-11-18,Daily ICU occupancy,375.0,Netherlands
2021-11-19,Daily ICU occupancy,388.0,Netherlands
2021-11-20,Daily ICU occupancy,400.0,Netherlands
2021-11-21,Daily ICU occupancy,425.0,Netherlands
2021-11-22,Daily ICU occupancy,427.0,Netherlands
2021-11-23,Daily ICU occupancy,447.0,Netherlands
2021-11-24,Daily ICU occupancy,464.0,Netherlands
2021-11-25,Daily ICU occupancy,488.0,Netherlands
2021-11-26,Daily ICU occupancy,491.0,Netherlands
2021-11-27,Daily ICU occupancy,499.0,Netherlands
2021-11-28,Daily ICU occupancy,508.0,Netherlands
2021-11-29,Daily ICU occupancy,520.0,Netherlands
2021-11-30,Daily ICU occupancy,545.0,Netherlands
2021-12-01,Daily ICU occupancy,536.0,Netherlands
2021-12-02,Daily ICU occupancy,550.0,Netherlands
2021-12-03,Daily ICU occupancy,554.0,Netherlands
2021-12-04,Daily ICU occupancy,547.0,Netherlands
2021-12-05,Daily ICU occupancy,547.0,Netherlands
2021-12-06,Daily ICU occupancy,565.0,Netherlands
2021-12-07,Daily ICU occupancy,572.0,Netherlands
2021-12-08,Daily ICU occupancy,572.0,Netherlands
2021-12-09,Daily ICU occupancy,571.0,Netherlands
